freq(GHz)  ch1  ch2  ch3  ch4  ch5  ch6  ch7  ch8 
      9.6473522     -0.1756234      0.0034316      0.0000000      0.0000000      0.4461570      0.8535458     -0.2221766     -0.0873449
      9.6593409     -0.1753498      0.0071756      0.0000000      0.0000000      0.4581718      0.8431522     -0.2319393     -0.0919858
      9.6713285     -0.1749999      0.0071613      0.0000000      0.0000000      0.4572577      0.8414699     -0.2314765     -0.0918023
      9.6833162     -0.1583463      0.0207642      0.0000000      0.0000000      0.5487134      1.0097716     -0.2144127     -0.0722584
      9.6953049     -0.1580687      0.0207278      0.0000000      0.0000000      0.5477518      1.0080020     -0.2140368     -0.0721317
      9.7072926     -0.1584411      0.0129582      0.0000000      0.0000000      0.4751675      0.8744286     -0.2118238     -0.0782171
      9.7192802     -0.1505357      0.0025599      0.0000000      0.0000000      0.4737317      0.8690089     -0.2059967     -0.0845079
      9.7312689     -0.1503063      0.0025560      0.0000000      0.0000000      0.4730098      0.8676846     -0.2056828     -0.0843791
      9.7432566     -0.1627126     -0.0031935      0.0000000      0.0000000      0.4531600      0.8312723     -0.2204612     -0.0957322
      9.7552452     -0.1624969     -0.0031892      0.0000000      0.0000000      0.4525591      0.8301700     -0.2201689     -0.0956052
      9.7672329     -0.1429478      0.0067163      0.0000000      0.0000000      0.4921951      0.9028780     -0.1971941     -0.0770930
      9.7792206     -0.1427681      0.0067079      0.0000000      0.0000000      0.4915762      0.9017428     -0.1969461     -0.0769961
      9.7912092     -0.1259532      0.0033701      0.0000000      0.0000000      0.5006081      0.8995032     -0.2091280     -0.0704207
      9.8031969     -0.1368222     -0.0026153      0.0000000      0.0000000      0.4763511      0.8559178     -0.2237295     -0.0813695
      9.8151846     -0.1366432     -0.0026119      0.0000000      0.0000000      0.4757281      0.8547983     -0.2234369     -0.0812630
      9.8271732     -0.1413589     -0.0038792      0.0000000      0.0000000      0.4794930      0.8615631     -0.2305016     -0.0849813
      9.8391609     -0.1411657     -0.0038739      0.0000000      0.0000000      0.4788375      0.8603852     -0.2301867     -0.0848652
      9.8511486     -0.1556259     -0.0091870      0.0000000      0.0000000      0.4434587      0.8525510     -0.2223539     -0.0670374
      9.8631372     -0.1470977     -0.0012757      0.0000000      0.0000000      0.4945419      0.9507587     -0.2136513     -0.0568204
      9.8751249     -0.1630109     -0.0013278      0.0000000      0.0000000      0.5489167      1.0552944     -0.2368047     -0.0628914
      9.8871126     -0.1622989     -0.0056921      0.0000000      0.0000000      0.5020470      0.9651873     -0.2337161     -0.0664768
      9.8991013     -0.1620015     -0.0056817      0.0000000      0.0000000      0.5011270      0.9634185     -0.2332878     -0.0663550
      9.9110889     -0.1491724      0.0048249      0.0000000      0.0000000      0.5441614      0.9753906     -0.2140229     -0.0944054
      9.9230766     -0.1476715      0.0040310      0.0000000      0.0000000      0.5307558      0.9513615     -0.2115336     -0.0939469
      9.9350653     -0.1473889      0.0040233      0.0000000      0.0000000      0.5297402      0.9495410     -0.2111288     -0.0937671
      9.9470530     -0.1574627     -0.0014349      0.0000000      0.0000000      0.5049432      0.9050934     -0.2229755     -0.1039555
      9.9590406     -0.1571729     -0.0014323      0.0000000      0.0000000      0.5040141      0.9034278     -0.2225652     -0.1037642
      9.9710293     -0.1550980     -0.0046796      0.0000000      0.0000000      0.5172427      0.8966460     -0.2255915     -0.0929622
      9.9830170     -0.1681753     -0.0139261      0.0000000      0.0000000      0.4612432      0.7995702     -0.2407289     -0.1075853
      9.9950047     -0.1678913     -0.0139026      0.0000000      0.0000000      0.4604640      0.7982194     -0.2403224     -0.1074036
     10.0069933     -0.1543368     -0.0098234      0.0000000      0.0000000      0.4565625      0.7914560     -0.2222174     -0.0964661
     10.0189810     -0.1541047     -0.0098086      0.0000000      0.0000000      0.4558759      0.7902660     -0.2218833     -0.0963211
     10.0309687     -0.1538875     -0.0097948      0.0000000      0.0000000      0.4552335      0.7891522     -0.2215706     -0.0961854
     10.0429573     -0.1316740      0.0107601      0.0000000      0.0000000      0.6062863      1.0344660     -0.2111956     -0.0672437
     10.0549450     -0.1315066      0.0107464      0.0000000      0.0000000      0.6055163      1.0331521     -0.2109273     -0.0671582
     10.0669327     -0.1548372     -0.0040161      0.0000000      0.0000000      0.5206981      0.8884324     -0.2387144     -0.0914965
     10.0789213     -0.1546488     -0.0040112      0.0000000      0.0000000      0.5200645      0.8873514     -0.2384239     -0.0913851
