freq(GHz)  ch1  ch2  ch3  ch4  ch5  ch6  ch7  ch8 
      9.0000000     52.9821243     54.6905899      0.0000000      0.0000000      0.1311127      0.1614575     57.4343033     55.7450447
      9.0119877     52.9326706     54.6395454      0.0000000      0.0000000      0.1309903      0.1613068     57.3806915     55.6930122
      9.0239763     49.4822235     50.8093491      0.0000000      0.0000000      0.1177206      0.1449660     53.5871239     51.8741837
      9.0359640     49.2432747     50.5088310      0.0000000      0.0000000      0.1397007      0.0000000     52.9634247     51.5412598
      9.0479517     50.5304337     52.0608215      0.0000000      0.0000000      0.1481805      0.0000000     54.4007530     53.0546532
      9.0599403     50.4788055     52.0076294      0.0000000      0.0000000      0.1480291      0.0000000     54.3451767     53.0004501
      9.0719280     50.4214783     51.9485626      0.0000000      0.0000000      0.1478610      0.0000000     54.2834511     52.9402542
      9.0839157     52.4892807     53.6175919      0.0000000      0.0000000      0.1443121      0.0000000     56.4042587     54.7805176
      9.0959044     52.4195404     53.5418549      0.0000000      0.0000000      0.0000000      0.1382824     56.7904205     54.9278030
      9.1078920     53.4467049     53.5723076      0.0000000      0.0000000      0.0000000      0.1208117     57.7052841     55.2869415
      9.1198797     53.3592224     53.4846191      0.0000000      0.0000000      0.0000000      0.1206140     57.6108322     55.1964417
      9.1318684     58.1857758     58.0347290      0.0000000      0.0000000      0.0000000      0.1258230     62.7660446     59.9865799
      9.1438560     61.7204514     62.9340820      0.0000000      0.0000000      0.0000000      0.1606823     66.8459167     64.5978546
      9.1558437     61.6053200     62.8166885      0.0000000      0.0000000      0.0000000      0.1603825     66.7212219     64.4773560
      9.1678324     51.1774521     52.3432465      0.0000000      0.0000000      0.1497821      0.2909908     55.4939499     53.6749573
      9.1798201     51.0835152     52.2471733      0.0000000      0.0000000      0.1495072      0.2904568     55.3920898     53.5764389
      9.1918077     50.9933739     52.1549797      0.0000000      0.0000000      0.1492434      0.2899443     55.2943459     53.4818954
      9.2037964     47.5074234     48.8067322      0.0000000      0.0000000      0.1439360      0.2796332     51.5564804     49.9799347
      9.2157841     47.4338074     48.7311134      0.0000000      0.0000000      0.1437130      0.2792000     51.4766006     49.9024963
      9.2277718     51.9190750     53.4134941      0.0000000      0.0000000      0.3104690      0.1785462     55.9985886     54.2432404
      9.2397604     51.8512688     53.3437347      0.0000000      0.0000000      0.3100636      0.1783130     55.9254532     54.1723938
      9.2517481     51.7889557     53.2796288      0.0000000      0.0000000      0.3096909      0.1780987     55.8582458     54.1072922
      9.2637367     49.7076263     50.2605515      0.0000000      0.0000000      0.2573012      0.1479702     53.4392433     51.3096695
      9.2757244     49.6546059     50.2069397      0.0000000      0.0000000      0.2570268      0.1478123     53.3822441     51.2549362
      9.2877121     56.0491104     56.6134109      0.0000000      0.0000000      0.2137332      0.2381598     60.4855347     58.0514183
      9.2997007     55.9757195     56.5392838      0.0000000      0.0000000      0.2134534      0.2378481     60.4063377     57.9754066
      9.3116884     55.8995590     56.4623566      0.0000000      0.0000000      0.2131630      0.2375244     60.3241501     57.8965302
      9.3236761     51.5993767     53.2284966      0.0000000      0.0000000      0.2323181      0.2588688     55.9294243     54.2455063
      9.3356647     51.5192184     53.1458092      0.0000000      0.0000000      0.2319573      0.2584667     55.8425369     54.1612396
      9.3476524     54.5842590     55.8115158      0.0000000      0.0000000      0.0937473      0.3978811     58.9439011     57.3359528
