freq(GHz)  ch1  ch2  ch3  ch4  ch5  ch6  ch7  ch8 
      9.0000000     29.6730614     28.5654621      0.0000000      0.0000000     61.9243317     52.8741341     33.6874809     32.1404572
      9.0119877     29.6187401     28.5131721      0.0000000      0.0000000     61.8109970     52.7773628     33.6258125     32.0816193
      9.0239763     28.9737778     28.0424976      0.0000000      0.0000000     63.7273483     54.4136429     32.9719925     31.5228310
      9.0359640     28.7866554     28.0318604      0.0000000      0.0000000     63.6177139     54.2666626     32.8110046     31.4012299
      9.0479517     32.9359283     32.0484657      0.0000000      0.0000000     72.2679596     61.6454239     37.5270691     35.9049530
      9.0599403     33.3270111     32.4644318      0.0000000      0.0000000     73.8969879     63.0350113     37.9923630     36.3645401
      9.0719280     33.2844620     32.4229889      0.0000000      0.0000000     73.8026505     62.9545326     37.9438591     36.3181114
      9.0839157     29.5604000     28.5303040      0.0000000      0.0000000     59.7777405     50.9911194     33.5511017     32.0058937
      9.0959044     29.6110535     28.4518204      0.0000000      0.0000000     59.7523956     50.9835205     33.5801239     32.0942650
      9.1078920     29.4470329     28.3606682      0.0000000      0.0000000     60.8936081     51.9572563     33.4304886     31.9798412
      9.1198797     29.3972549     28.3127251      0.0000000      0.0000000     60.7906685     51.8694229     33.3739777     31.9257813
      9.1318684     29.5000534     28.3978844      0.0000000      0.0000000     60.6964264     51.7890129     33.4831009     32.0242195
      9.1438560     32.6855011     31.3603344      0.0000000      0.0000000     64.9466248     55.4154739     37.0417252     35.3830910
      9.1558437     32.1382446     30.7903156      0.0000000      0.0000000     62.8633308     53.6379128     36.3969269     34.7478180
      9.1678324     32.0240250     30.9968643      0.0000000      0.0000000     69.4450684     59.1790009     36.2959900     34.7031746
      9.1798201     31.9922714     30.9661331      0.0000000      0.0000000     69.3762131     59.1203232     36.2600021     34.6687660
      9.1918077     31.9557686     30.9308014      0.0000000      0.0000000     69.2970428     59.0528526     36.2186317     34.6292114
      9.2037964     44.3027153     45.2702484      0.0000000      0.0000000    149.8811951    127.7242508     51.4976692     50.2787285
      9.2157841     44.2053452     45.1707497      0.0000000      0.0000000    149.5517731    127.4435196     51.3844833     50.1682205
      9.2277718     27.6511726     26.7026253      0.0000000      0.0000000     58.6045761     50.1088295     31.3900185     29.9784622
      9.2397604     27.5936031     26.6470299      0.0000000      0.0000000     58.4825783     50.0045166     31.3246670     29.9160500
      9.2517481     27.3571014     26.4039307      0.0000000      0.0000000     57.6510353     49.2935219     31.0485916     29.6455956
      9.2637367     27.8511314     26.5772514      0.0000000      0.0000000     51.8775520     44.3570061     31.4526138     29.8911781
      9.2757244     27.8009186     26.5293350      0.0000000      0.0000000     51.7840271     44.2770386     31.3959103     29.8372860
      9.2877121     20.1535492     18.7473965      0.0000000      0.0000000     27.1112671     23.1559410     22.4837894     21.2109566
